"rank_total","sum_total","sum_mean","sum_median","test_para"
241,295530,32836.6666666667,39204,32836.6666666667
242,107610,21522,14111,38340.3833333333
243,228286,76095.3333333333,48957,43844.1
244,166111,33222.2,37722,33222.2
245,408774,68129,43449.5,43449.3272727273
246,590441,53676.4545454545,31193,43490.9196574471
247,1348437,269687.4,49304,43532.512042167
248,133761,66880.5,66880.5,42931.2861432162
249,192557,48139.25,41822,41421.4514737216
250,138942,34735.5,34146.5,34735.5
251,74570,37285,37285,31409.875
252,224674,28084.25,35132.5,28084.25
253,10756,10756,10756,28542.0186197917
254,391772,78354.4,31754,28999.7872395833
255,77992,25997.3333333333,16916,31650.5015625
256,185639,37127.8,44671,33283.50078125
257,139666,34916.5,38793.5,31158.6670572917
258,174203,29033.8333333333,35830,29033.8333333333
259,67301,22433.6666666667,26928,30041.9583333333
260,308921,61784.2,50874,31050.0833333333
261,79333,39666.5,39666.5,27786.9166666667
262,98095,24523.75,25369,29793.9583333333
263,254408,31801,35081,31801
264,0,0,NA,29617.9166666667
265,1206843,201140.5,38000.5,27434.8333333333
266,164609,54869.6666666667,43359,25928.2604166667
267,55258,18419.3333333333,21661,25922.2760416667
268,44462,44462,44462,25916.2916666667
269,133653,33413.25,39077.5,27048.2458333333
270,140901,28180.2,31854,28180.2
271,127907,25581.4,35786,28397.95
272,91773,11471.625,10879,28615.7
273,118319,39439.6666666667,44512,29702.5833333333
274,80351,40175.5,40175.5,30789.4666666667
275,56742,28371,28371,30609.7542317708
276,78765,15753,13807,30430.041796875
277,213959,53489.75,51448.5,30792.9353027344
278,168378,33675.6,39329,30909.4926513672
279,264493,44082.1666666667,28656.5,31026.05
280,56753,28376.5,28376.5,29786.915625
281,75952,75952,75952,28547.78125
282,90807,22701.75,22678.5,28719.0625
283,127596,31899,27004,29755.4479166667
284,184751,30791.8333333333,24880.5,30791.8333333333
285,80289,26763,27832,29804
286,149825,37456.25,42996.5,28816.1666666667
287,92608,30869.3333333333,29315,30869.3333333333
288,170427,34085.4,33977,28732.6666666667
289,53192,26596,26596,29738.4583333333
290,87171,21792.75,21004.5,30744.25
291,139570,34892.5,36189.5,29965.7916666667
292,87562,29187.3333333333,29012,29187.3333333333
293,97547,24386.75,20618.5,24386.75
294,33407,8351.75,10906.5,23513.029683431
295,1144544,286136,36106,23107.0455627441
296,65413,21804.3333333333,25418,22979.7659454346
297,42586,21293,21293,23471.3829727173
298,138721,34680.25,35836.5,23963
299,53266,26633,26633,26633
300,174588,24941.1428571429,31510,24941.1428571429
