"rank_total","sum_total","sum_mean","sum_median","test_para","predict_vector"
101,6305303,1576325.75,1606745.5,908019.324523926,1035861.06500582
102,4502374,1125593.5,639557,1125593.5,1040813.39283758
103,5462487,1820829,1210960,1196531.21276042,1043839.03244312
104,7484312,1496862.4,1109174,1210120.55690104,1046017.70213614
105,306055,153027.5,153027.5,1134612.05865885,1047356.33927147
106,4301840,1433946.66666667,1535678,1059103.56041667,1047864.7476288
107,4242454,707075.666666667,223417,979614.63735119,1047555.53988296
108,6300880,900125.714285714,1198232,962807.604389881,1046444.06471661
109,6622004,946000.571428571,763769,946000.571428571,1044548.31913216
110,3389628,1129876,1189854,1129876,1041888.84663055
111,4347696,1449232,1205025,1148425.9375,1038488.62202884
112,5785136,1446284,1234324.5,1166975.875,1034372.92378558
113,7304055,1826013.75,2110784.5,1157595,1029569.1947912
114,3475624,868906,963432.5,1131521.91145833,1024106.89265987
115,7333967,1222327.83333333,1134613.5,1105448.82291667,1018017.33062876
116,4737514,676787.714285714,218899,1020936.22916667,1009590.93630965
117,6556357,819544.625,1131286.5,1070345.36458333,1000269.41754723
118,2239509,1119754.5,1119754.5,1087759.90104167,992253.823846155
119,4053879,810775.8,891423,1089177.13802083,983770.206772749
120,8724755,1090594.375,1108366.5,1074027.48094223,974856.935947509
121,6827452,758605.777777778,984694,1058877.82386364,965553.05751891
122,11298774,1027161.27272727,1218050,1027161.27272727,955898.103965603
123,2538715,846238.333333333,1245267,846238.333333333,945931.905145237
124,5439822,777117.428571429,896553,843301.458333333,935694.401800677
125,4134325,826865,949490,843739.479166667,925225.462688744
126,11147734,1393466.75,1094302,844177.5,914564.706441933
127,2064434,516108.5,437936,861490,903751.329210466
128,4205973,1051493.25,1108314.5,1051493.25,892823.939061456
129,6404074,914867.714285714,893246,914867.714285714,881820.398034721
130,7609614,845512.666666667,1002203,845512.666666667,870777.67267181
131,11839150,910703.846153846,838989,910703.846153846,859731.693747136
132,6492891,649289.1,227645.5,971803.478632479,845970.194926882
133,9296128,1032903.11111111,954074,938301.110409989,832327.462175868
134,2718719,388388.428571429,138374,904798.7421875,821535.159836322
135,5347825,445652.083333333,184702,859454.945746528,810885.22621637
136,4539955,648565,235205,814111.149305556,800405.851693507
137,2802903,934301,906468,845737.574652778,790123.538407771
138,7896276,877364,1165051,877364,780063.042738227
139,5926879,740859.875,541827,740859.875,770247.329368007
140,3692470,527495.714285714,216952,692829.5625,760697.536784266
141,5158394,644799.25,955163.5,574639.664110456,751432.953979401
142,1536485,219497.857142857,87738,572288.696406885,742471.008045071
143,3718425,371842.5,188759,569937.728703315,733827.262281523
144,1830085,457521.25,418975.5,574214.048061999,725515.424381896
145,4087611,583944.428571429,935820,583944.428571429,717547.364194901
146,5270263,878377.166666667,969044,662688.974702381,709933.140519704
147,1099185,274796.25,170589.5,741433.520833333,700913.826932995
148,602476,120495.2,134153,604489.875,692495.721206017
149,3736734,934183.5,1172265.5,737620.6375,686173.907870424
150,4176,4176,4176,740902.894270833,680229.904467193
151,8073193,807319.3,1010523.5,728401.613802083,674664.633023254
152,4295402,715900.333333333,946875,715900.333333333,669477.555414515
153,2531898,843966,1199772,714140.854166667,664666.747347371
154,4557816,911563.2,1054781,712381.375,660228.975712301
155,2323187,580796.75,499773.5,580796.75,656159.778633123
156,5196962,866160.333333333,589591.5,627030.375,652453.547553441
157,2019792,673264,849800,673264,649103.610724346
158,4324746,617820.857142857,739118,617820.857142857,646102.317484127
159,3477413,869353.25,1086066,649505.678571429,643441.122751018
160,7257,7257,7257,681190.5,641110.671183446
161,1972111,493027.75,434652,621790.145833333,639100.880498272
162,1166297,388765.666666667,202667,605795.822916667,637013.930903439
163,2007901,501975.25,457119,589801.5,635407.52740631
164,3966758,661126.333333333,826504,661126.333333333,634432.058914184
165,3418163,683632.6,1096666,683632.6,633725.038481157
166,7205751,1200958.5,1101478,676981.708333333,633273.796013091
167,1164214,1164214,1164214,670330.816666667,633065.426811113
168,2500430,416738.333333333,236913,587840.366666667,633086.856362243
169,6369060,909865.714285714,906972,590900.933333333,633324.901583598
170,2375846,593961.5,616203,593961.5,633766.328392804
171,90576,90576,90576,614977.85,634397.905513619
172,3179971,635994.2,898431,635994.2,635206.454460282
173,2805135,701283.75,821937.5,668064.586607143,636178.895676489
174,3348626,478375.142857143,159970,700134.973214286,637302.290835134
175,2095955,1047977.5,1047977.5,698986.196428571,638563.88133273
