"rank_total","sum_total","sum_mean","sum_median","test_para","predict_vector"
43,4830086,284122.705882353,5828,125621.176470588,93398.7707404621
44,1853588,84254,4807,84254,97799.0971829033
45,9509358,594334.875,30070,125266.523809524,102130.737263602
46,3491860,166279.047619048,11046,174208.932806777,106365.082153987
47,11074603,395521.535714286,9635,174082.893367185,110473.192082827
48,4833625,185908.653846154,4326.5,173956.853927594,114426.143293219
49,8717532,458817.473684211,4384,171679.490502661,118195.389090496
50,5459498,209980.692307692,6351.5,167011.767094017,121753.128768865
51,4898839,136078.861111111,6951,136078.861111111,125072.677793321
52,814657,38793.1904761905,5626,125245.82710728,128128.832352331
53,3317971,114412.793103448,5826,114412.793103448,130898.221298489
54,3180651,85963.5405405405,4177,130822.064512087,133359.63856693
55,11015627,423677.961538462,23149.5,147231.335920725,135985.871862392
56,5065473,281415.166666667,26456.5,141765.796719637,138049.673273642
57,7366787,216670.205882353,5109,136300.257518548,139304.237872442
58,2462305,72420.7352941177,7924.5,108577.44894644,140189.582071281
59,10575086,311031.941176471,5063,119671.393128182,140700.888122306
60,2946522,89288.5454545455,5641,130765.337309924,140836.780900995
61,5040528,162597.677419355,4061,118409.245578039,140599.344526251
62,2757382,106053.153846154,4555,106053.153846154,139994.08580212
63,2834044,118085.166666667,2743,118085.166666667,139029.845273408
64,1011253,38894.3461538462,3841,115909.265012255,137718.657807327
65,1406152,41357.4117647059,4050.5,113733.363357843,136075.565680572
66,2363927,147745.4375,10936.5,128773.866053922,134118.388136966
67,6299665,203215,2939,134328.583026961,131867.452258704
68,892995,24805.4166666667,4868.5,127640.672069036,129345.290741656
69,1913790,76551.6,2889,120952.761111111,126576.312763816
70,1836400,102022.222222222,3051,117849.519444444,123586.454572125
71,1443453,60143.875,2038,114746.277777778,119584.850511217
72,3059288,127470.333333333,5323,113230.816878019,115325.170982127
73,1981225,53546.6216216216,2914,111715.355978261,111779.960339981
74,1260183,54790.5652173913,4629,106252.831974638,108139.682265818
75,735157,24505.2333333333,3499,100790.307971014,104432.173580984
76,2277084,113854.2,4078.5,98451.3200534986,100684.503030477
77,959374,36899,3996,96112.3321359828,96922.6803185318
78,1506967,50232.2333333333,6954.5,90692.7682291667,93171.395599162
79,190952,8302.26086956522,3332,99342.3197916667,89453.7925354429
80,4750477,148452.40625,10863,92895.1364583333,85791.2771753123
81,386648,19332.4,5013.5,92701.7731226361,82203.3640190561
82,733305,24443.5,3390.5,92508.4097869389,78707.5597982373
83,4117542,147055.071428571,12113.5,90451.3651436942,75319.2846694688
84,626423,21600.7931034483,3913,86323.5634920635,72051.829768535
85,921314,25592.0555555556,4529.5,60828.9781746032,68916.3493873716
86,989363,35334.3928571429,3933.5,66177.7749007937,65191.4893603528
87,1687794,56259.8,9500,71526.5716269841,61709.3280622953
88,145096,5373.92592592593,4322,75850.8197623557,59093.6579685592
89,2706185,112757.708333333,3891.5,75846.1006955718,56635.0218443516
90,872215,36342.2916666667,5050.5,75841.3816287879,54333.9699315006
91,1369075,33392.0731707317,4887,58674.599905303,52189.5093431634
92,913172,41507.8181818182,9811,59788.6547913612,50199.2571348843
93,1887984,60902.7096774194,4413,60343.2500595273,48359.5994628295
94,1475289,49176.3,6516,60897.8453276933,46665.8534665538
95,662594,25484.3846153846,6011.5,60892.9809779673,45112.4287835851
96,745835,33901.5909090909,2090,58585.9498789358,43692.9859184996
97,2483559,112889.045454545,10956.5,56278.9187799043,42400.5890372389
98,671533,35343.8421052632,5412,48368.8093899521,41227.8511257369
99,809174,40458.7,4852.5,50912.2484449761,40167.0698287423
100,855291,53455.6875,25291.5,53455.6875,39210.35265932
101,1361452,42545.375,6753,44684.04375,38145.9645284781
102,538686,35912.4,2629,35912.4,37221.6273996325
103,513830,24468.0952380952,4087,33605.4689536341,36566.7586116132
104,434747,24152.6111111111,7891,33586.2052641369,35980.8433981094
105,528020,27790.5263157895,10349,33566.9415746397,35456.644692387
106,674935,33746.75,7667,33746.75,34987.2547839989
107,1261688,48526.4615384615,38750,36517.2403846154,34566.131459703
108,465605,17907.8846153846,6269,39287.7307692308,34187.1242239884
109,721176,30049,10045.5,40798.100678733,33844.491512924
110,719244,42308.4705882353,6965,42308.4705882353,33532.9098669655
111,655716,29805.2727272727,4840.5,35457.0102941176,33247.4760510341
112,572111,28605.55,3186,37643.8428694201,32983.7031071806
113,1187990,53999.5454545455,12917,37561.1160146321,32737.5113002413
114,528055,17034.0322580645,5445,37478.389159844,32505.2148739412
115,1099017,57843,13733,37176.6375424889,32283.5054776931
116,565814,31434.1111111111,3533,32394.3554775936,32016.6578478755
117,577404,22207.8461538462,4608,27612.0734126984,31757.015317489
118,666121,23790.0357142857,4579,27714.7831051587,31551.2882284216
119,744843,27586.7777777778,5911,27817.492797619,31345.3831546287
120,700889,28035.56,3857,28035.56,31137.6911171154
121,947968,39498.6666666667,5577,26175.9539130435,30926.8390244281
122,559276,24316.347826087,5907,24316.347826087,30711.6680097108
123,582112,21559.7037037037,3340,23643.1592071611,30491.2127099241
124,780979,22969.9705882353,13164,22969.9705882353,30264.6816551363
125,582667,17656.5757575758,3709,22835.6570112894,30031.4388838716
126,506026,17449.1724137931,6686,22701.3434343434,29790.9868553931
127,749145,27746.1111111111,4180,23413.275581906,29542.9506913971
128,186712,10372.8888888889,2961.5,21958.7899648661,29287.063747629
129,471599,20504.3043478261,2645,20504.3043478261,29023.1544899908
130,1275716,41152.1290322581,3460,20463.8874680307,28751.1346293086
131,347199,20423.4705882353,2687,20423.4705882353,28470.9884535056
132,437852,17514.08,6471,17514.08,28109.7039057073
133,314287,14966.0476190476,4349,18501.6471428571,27735.5132784582
134,272849,19489.2142857143,14789,19489.2142857143,27427.6372391561
135,540325,25729.7619047619,5824,20320.0693581781,27112.2300075906
136,294169,12789.9565217391,3107,18446.0781573499,26789.5305387561
137,381158,16572.0869565217,5108,17539.7890786749,26459.8047831302
138,365937,16633.5,4605.5,17693.8330450846,26123.3414587727
139,452108,15070.2666666667,2656.5,17847.8770114943,25780.4483506525
140,325471,14794.1363636364,2938.5,19062.2540229885,25431.4490725215
141,668573,23054.2413793103,7788,19102.7397756767,25076.6802324187
142,396162,12779.4193548387,3528,19143.2255283648,24716.4889486834
143,251179,10920.8260869565,2067,18414.1127641824,24351.2306690362
144,495180,17685,5340,17685,23981.2672507358
145,436735,12478.1428571429,2809,17203.8759523384,23606.9652649574
146,244890,12888.9473684211,2353,17232.0402095643,23228.6944933068
147,341922,13676.88,6032,17260.2044667902,22750.9390584693
148,325899,13579.125,3890,17333.9617391304,22268.0944872398
149,482794,20991.0434782609,6918,19063.7220022883,21878.8615213721
150,411602,21663.2631578947,4245,19371.4611198513,21487.3306841206
151,171035,8551.75,876.5,19679.2002374142,21093.8688113442
152,371043,19528.5789473684,7728,19528.5789473684,20698.8392866938
153,374300,19700,5512,19230.7044736842,20302.6013308149
154,200586,9117.54545454545,3806,18932.83,19905.509346197
155,327428,14236,2206,18165.66,19507.9123117153
156,358693,13284.9259259259,3965,19363.32,19110.1532220619
157,612266,24490.64,13064,19381.66,18712.5685682113
158,426800,19400,6939.5,19400,18315.4878558464
159,390310,16262.9166666667,9358.5,17858.3461538462,17919.2331593057
160,212117,16316.6923076923,1780,18207.0769230769,17524.1187091196
161,482451,18555.8076923077,4352.5,18555.8076923077,17130.4505116086
162,524357,18081.275862069,3989,18081.275862069,16640.7855865869
163,334622,16731.1,4879,17469.5640841093,16154.5373161481
164,403325,14404.4642857143,9431,17227.0843482044,15768.2142130716
165,328821,14946.4090909091,9110.5,17271.1304093963,15384.6039361319
166,294358,17315.1764705882,9531,17315.1764705882,15003.9617941161
167,327239,14227.7826086957,6253,15821.3070793577,14626.5331149051
168,271243,12916.3333333333,7186,15658.9304067851,14252.5530785849
169,276421,9531.75862068966,1542,15763.9189758761,13882.2465766981
170,319427,12777.08,4849,15868.9075449671,13515.8280971533
171,436052,16771.2307692308,8780.5,16771.2307692308,13153.5016342865
172,142800,7933.33333333333,2012.5,17091.7855998169,12795.4606235434
173,255303,9117.96428571429,4124,17412.3404304029,12441.8879002162
174,262561,21880.0833333333,5124.5,17368.0861346309,12092.955681634
175,233182,11659.1,4091.5,17323.8318388588,11748.8255721692
176,150463,8359.05555555555,4567,17113.7770305405,11409.6485903804
177,304267,16903.7222222222,3689,16903.7222222222,10992.6914770143
178,343623,12726.7777777778,3766,12726.7777777778,10584.272238544
179,267796,11643.3043478261,2422,12344.7649758454,10263.4690217423
180,169821,7719.13636363636,4297.5,12313.4824879227,9948.16929464841
181,184233,12282.2,2946,10304.5688301682,9638.46725755037
182,240574,8295.65517241379,3159,10135.186056021,9334.44718841972
183,131321,8754.73333333333,3753,9965.80328187376,9036.1836110578
184,88811,4933.94444444444,1873.5,10014.4130984638,8743.74147832992
185,110603,7900.21428571429,4068,10305.2369047619,8457.17636955129
186,221094,12283,4246,11211.8163133435,8176.53470107707
187,141436,12857.8181818182,12417,11582.8038785969,7901.8539491418
188,345465,18182.3684210526,10549,11953.7914438503,7633.16288398838
189,187846,11049.7647058824,3877,11049.7647058824,7370.48181432634
190,35355,2946.25,1914.5,10072.7712418301,7113.82284116059
191,163724,9095.77777777778,1101.5,9095.77777777778,6863.19012003757
192,134957,5623.20833333333,1764.5,9568.42361111111,6618.58013076324
193,205880,12867.5,3843.5,9334.46180555555,6321.08263966237
194,91005,9100.5,4055,9100.5,6033.31550347264
195,121125,5046.875,1932,8320.625,5809.65308010491
196,150815,7540.75,1362,7540.75,5591.91008876859
197,89982,6921.69230769231,673,7891.27457264957,5380.04586039334
198,47166,3369,1619.5,8241.79914529915,5174.01392245795
199,133846,14871.7777777778,425,9561.90598290598,4973.76229614661
200,106952,8227.07692307692,3028,8227.07692307692,4779.23379363571
201,82192,5137,2600,7782.19381009615,4590.3663147647
202,35991,3599.1,668,7337.31069711538,4407.09314237491
203,79192,6091.69230769231,4237,7559.88774038462,4229.34323563205
204,136265,8516.5625,3127,8516.5625,4057.04152068086
205,111738,11173.8,6427.5,8673.81019736842,3890.10917801403
206,165167,12705.1538461538,3420,8831.05789473684,3728.46392597172
207,123278,6488.31578947368,4074,8197.13421052632,3572.0202998232
208,49108,4910.8,1039,7563.21052631579,3383.48943677051
209,164124,8638.1052631579,1885,8638.1052631579,3203.08196315469
210,110931,5546.55,2810,8236.61118421053,3064.13140437322
211,69470,4631.33333333333,1869,7835.11710526316,2929.96570836071
212,192350,10123.6842105263,1558,8151.78582535885,2800.48664894194
213,93153,8468.45454545455,5989,7833.2758910292,2675.59449113643
214,35501,3550.1,1551.5,7514.76595669955,2555.18822319548
215,44955,4495.5,2026,6561.07736794456,2439.16578098585
216,27992,2153.23076923077,960,6640.17746316184,2327.42426450318
217,64432,4956.30769230769,678,6910.70492007992,2219.86014633136
218,59789,8541.28571428571,3452,6774.85074619653,2116.36947189513
219,33625,1977.94117647059,1023,6638.99657231314,2016.84805138439
220,112110,14013.75,928,7067.23512826183,1921.19164325829
221,142414,7495.47368421053,3793,6619.20847322182,1829.29612926561
222,67883,6171.18181818182,1732,6171.18181818182,1741.05768094596
223,25094,3136.75,2092,6963.72424242424,1635.63789146317
224,116344,7756.26666666667,2810,6281.44545454545,1535.78429123803
225,67190,5599.16666666667,1265.5,5973.30699182816,1459.53571394529
226,65345,4084.0625,1588,5852.23869169161,1386.48459686103
227,19937,2848.14285714286,1679,5731.17039155506,1316.53130207035
228,35743,3574.3,1272,6040.31033916171,1249.57735767952
229,60443,6715.88888888889,3478,6314.22354564923,1185.52556173852
230,238611,18354.6923076923,4993,6588.13675213675,1124.28007827719
231,83985,6460.38461538462,3360,6520.04553952991,1065.74652561798
232,82293,8229.3,1808.5,6451.95432692308,1009.83205714228
233,60936,7617,1896,6443.52403846154,956.445434700189
234,83293,6407.15384615385,1131,6407.15384615385,905.497094864566
235,37234,5319.14285714286,2862,6113.95192307692,856.899208240945
236,93132,5820.75,2896,5820.75,810.565732053319
237,36824,4603,2091.5,5309.68269230769,766.412456233871
238,155150,14104.5454545455,1414,5151.95673076923,714.099094082737
239,64925,4994.23076923077,3077,5224.51922621649,665.03200164854
240,43937,3994.27272727273,1473,5297.08172166375,627.873597044455
241,119832,10893.8181818182,4650,5519.92662805944,592.540056762035
242,36020,6003.33333333333,2771.5,5583.46972428613,558.957806870023
243,93684,6691.71428571429,3406,5647.01282051282,527.055264009028
244,68779,5290.69230769231,2964,5290.69230769231,496.762840512454
245,107976,10797.6,2252.5,5224.11057692308,468.012945127484
246,21336,2667,1232,5157.52884615385,440.739979585424
247,48060,5340,2242,5340,414.88033126839
248,42408,3534,1230.5,5066.26785714286,390.372362216304
249,20104,4020.8,1024,4792.53571428571,367.156394714585
250,64254,4589.57142857143,865.5,4904.67142857143,345.174693698646
251,154057,8108.26315789474,3987,5174.35714285714,324.371446206656
252,120942,5759.14285714286,2304,5759.14285714286,304.692738106737
253,48954,4079.5,1604,5928.63392857143,286.086528319155
254,83799,8379.9,2274.5,5306.34821428571,264.230609740269
255,97401,8116.75,2833.5,5509.82609577922,243.938230431
256,35970,3270,1758,5713.30397727273,228.702301077473
257,74168,6742.54545454545,1142,6197.64805506993,214.327065104853
258,74635,6785,1621,6192.21552148566,200.770230310196
259,98629,7586.84615384615,4246,6186.78298790138,187.991163112931
260,76218,6928.90909090909,3094,6147.48459758625,175.9508503618
261,227675,20697.7272727273,4352,5668.08845263928,164.611860240178
262,67453,5188.69230769231,2062,5188.69230769231,153.938302423401
263,52625,6578.125,1363.5,5167.90170940171,143.895787634038
264,46324,5147.11111111111,1857,5147.11111111111,134.45138673343
265,51502,4291.83333333333,1382.5,5023.13888888889,125.573589480183
266,85201,7745.54545454545,1648,4498.03611111111,117.232263078784
267,44052,5506.5,3027,3972.93333333333,109.398610634031
268,30467,3046.7,692,3046.7,102.045129619635
269,90609,15101.5,1301,2988.99761431805,93.4754369853319
270,33857,2418.35714285714,1886,2980.81621771478,85.5928862221666
271,21034,1912.18181818182,871,2972.63482111151,79.7211413212949
272,21884,2735.5,899.5,3133.34483753551,74.2207197447301
273,21289,2365.44444444444,1465,3492.97727272727,69.0705052639977
274,46755,4250.45454545455,2357,4250.45454545455,64.2504127397065
275,35392,4424,3953,4424,59.7413494489938
276,48517,5390.77777777778,1585,4208.2,55.5251770741321
277,39924,3992.4,1003,3992.4,51.5846743994294
278,9893,1413.28571428571,968,2799.77142857143,47.903500758232
279,24396,12198,12198,2743.72391183036,44.4661602667571
280,10806,1801,1250,2849.15186941964,41.2579668766233
281,17021,1547.36363636364,564,2954.57982700893,38.2650102733451
282,16840,2405.71428571429,1381,3221.48325892857,35.4741226436855
283,28185,4026.42857142857,2158,3417.99162946429,32.8728463306289
284,28916,3614.5,3466,3614.5,29.8648860795214
285,17797,1483.08333333333,966,3746.75595238095,27.1234935797374
286,28403,4733.83333333333,2666,3665.30654761905,25.0972787750772
287,25087,3583.85714285714,1326,3583.85714285714,23.2125824787538
288,13321,1903,901,3376.81770833333,21.4603155016777
289,25974,2597.4,1099.5,3312.8728422619,19.8319109027936
290,18090,3015,848.5,3378.95725446429,18.3192985438261
291,14675,1834.375,1248,3445.04166666667,16.9148805568096
292,36670,6111.66666666667,411,3407.30499188312,15.6115077151479
293,19121,3186.83333333333,1645,3415.25206304113,14.4024566970841
294,45835,4166.81818181818,1088,3423.19913419913,13.2814082287598
295,22725,2065.90909090909,1123,3535.1540922619,12.2424260925226
296,86316,9590.66666666667,1739,3555.48641056209,11.2799369847821
297,29671,4238.71428571429,2347,3561.11011968175,10.3887112065085
298,37710,4713.75,3878,3566.73382880141,9.56384416841786
299,55320,9220,5231.5,3545.8820413961,8.80073869197297
300,32768,3276.8,1218,3411.34102069805,8.26464012279056
