"rank_total","sum_total","sum_mean","sum_median","test_para","predict_vector"
184,1617135,89840.8333333333,75909,82730.1202673256,84531.6314824102
185,1036025.08,74001.7914285714,69807.5,82233.5281783293,83950.3569540586
186,1076987,67311.6875,68329,78742.0913982043,83372.028699583
187,643783,58525.7272727273,55472,78144.8351727864,82796.6381804067
188,1473404,77547.5789473684,66098,77547.5789473684,82224.1770865906
189,1048908,61700.4705882353,62496,80698.3410406347,81654.6373119725
190,1049758.63,104975.863,93501.5,78567.4131673762,81088.0109313303
191,1299420.25,76436.4852941177,78910,76436.4852941177,80524.2901794219
192,1826905,79430.652173913,75173,76522.3734766528,79963.4674317622
193,1160953.17,72559.573125,70572.5,76608.2616591879,79266.4128587002
194,571490,57149,62146,73785.8711444627,78574.0403633318
195,1666740.59,69447.5245833333,63373,75012.1691639254,78023.3022237501
196,1501395,79020.7894736842,79776,75779.3800700444,77475.4290813921
197,1023952.57,78765.5823076923,63718,75298.4083521783,76930.4138083965
198,866652.41,61903.7435714286,49983,74817.4366343123,76388.2493269103
199,480879.01,53431.0011111111,56144,73643.0301253434,75848.9285993296
200,910270,70020.7692307692,64337,74922.1408962912,75312.4446194246
201,1258431,78651.9375,69669,73798.7069815991,74778.7904042784
202,493472,49347.2,39269,72675.273066907,74247.9589869744
203,704191,54168.5384615385,47776,71539.6362547576,73719.9434099734
204,953342.94,59583.93375,43672,71258.2544815455,73194.7367191243
205,584540,58454,62086,70976.8727083333,72672.331958257
206,988437.74,82369.8116666667,77574,70342.2259982639,72152.7221643095
207,1200158,66675.4444444444,67276,70465.6129991319,71635.9003629475
208,705890,70589,70217.5,70589,70993.6964433975
209,1279771,67356.3684210526,64828,71313.7885338346,70355.9974114029
210,1225021,61251.05,56115.5,72038.5770676692,69848.8784109683
211,1074091,76720.7857142857,62080,70677.759962406,69344.515782998
212,1073229,59623.8333333333,64434,69316.9428571429,68842.9024311781
213,619131,61913.1,50451.5,69871.5017857143,68344.0312288838
214,636287,63628.7,47626,70426.0607142857,67847.8950173819
215,743793,74379.3,54672,69943.4322802198,67354.4866042646
216,774627,59586.6923076923,67007,69460.8038461539,66863.7987620941
217,839050,64542.3076923077,65192,64542.3076923077,66375.824227241
218,628465,89780.7142857143,85270,62882.4845199378,65890.5556988968
219,952638,56037.5294117647,55636,62518.9443315187,65407.9858382481
220,394499.5,49312.4375,36378,64007.0318832681,64928.1072677943
221,1055617,58645.3888888889,52325.5,65495.1194350176,64450.9125707997
222,722597,72259.7,66527.5,64962.7472175088,63976.3942908647
223,515443,64430.375,58677.5,64430.375,63386.9156190256
224,1171282.46,78085.4973333333,65758,63634.3541666667,62801.7586216833
225,754060,62838.3333333333,56575,62838.3333333333,62336.5485033164
226,887470,55466.875,56674,61651.4523809524,61873.9807510395
227,423252,60464.5714285714,54440,60464.5714285714,61414.0476870525
228,592304,59230.4,59079.5,61771.7301587302,60956.7415933618
229,567710,63078.8888888889,53824,63078.8888888889,60502.0547119605
230,775502.72,59654.0553846154,51333,59654.0553846154,60049.9792450611
231,781277,65106.4166666667,61404,62363.028537231,59600.5073553737
232,663732,73748,83883,62255.3905368277,59153.6311664277
233,656475,82059.375,80607,62147.7525364243,58709.3427629294
234,948367,72951.3076923077,70226,60595.1974477199,58267.6341911547
235,400779.81,57254.2585714286,54022,57254.2585714286,57828.4974593716
236,805836,50364.75,58320,55152.1551866883,57391.9245382892
237,370909,46363.625,27810.5,54721.6585024351,56957.9073615325
238,597202.78,54291.1618181818,50954,54291.1618181818,56418.8882624338
239,593368,45643.6923076923,46363,57070.9809090909,55883.9925367123
240,598508,59850.8,59035,57138.8401515151,55458.8564188184
241,588797,53527,49732,57206.6993939394,55036.2393013424
242,340393,56732.1666666667,55109.5,56732.1666666667,54616.1329232603
243,587826,45217.3846153846,40666,52914.5044871795,54198.5289899708
244,519526,43293.8333333333,47808.5,52945.4022435897,53783.4191738806
245,529763,52976.3,40067,52976.3,53370.7951149978
246,371117,46389.625,26129,54675.3722222222,52960.6484215328
247,507370,56374.4444444444,58118,56374.4444444444,52552.9706705049
248,739161,61596.75,48011.5,56222.6188568376,52147.7534083532
249,250905,50181,50256,56070.7932692308,51744.9881515525
250,534359,41104.5384615385,35874,53489.7331730769,51344.666387232
251,725260,40292.2222222222,34573,52605.8903960623,50946.7795737966
252,1086163,51722.0476190476,41070,54260.4684664294,50551.3191415504
253,796188,66349,47072,54575.7685946866,50158.2764933214
254,403775,40377.5,44503.5,54891.0687229437,49670.2851028339
255,592538,53867.0909090909,63155,53867.0909090909,49186.1910182964
256,390081,35461.9090909091,26288,53708.3636363636,48801.5425293968
257,589046,53549.6363636364,33871,53549.6363636364,48419.2728140061
258,496003,45091.1818181818,25658,45091.1818181818,48039.3731350204
259,595486.48,45806.6523076923,40243,45806.6523076923,47661.8347319234
260,462816,42074.1818181818,37824,44304.8523776224,47286.648821409
