"rank_total","sum_total","sum_mean","sum_median","test_para"
"167",167,327239,14227.7826086957,6253,15821.3070793577
"168",168,271243,12916.3333333333,7186,15658.9304067851
"169",169,276421,9531.75862068966,1542,15763.9189758761
"170",170,319427,12777.08,4849,15868.9075449671
"171",171,436052,16771.2307692308,8780.5,16771.2307692308
"172",172,142800,7933.33333333333,2012.5,17091.7855998169
"173",173,255303,9117.96428571429,4124,17412.3404304029
"174",174,262561,21880.0833333333,5124.5,17368.0861346309
"175",175,233182,11659.1,4091.5,17323.8318388588
"176",176,150463,8359.05555555555,4567,17113.7770305405
"177",177,304267,16903.7222222222,3689,16903.7222222222
"178",178,343623,12726.7777777778,3766,12726.7777777778
"179",179,267796,11643.3043478261,2422,12344.7649758454
"180",180,169821,7719.13636363636,4297.5,12313.4824879227
"181",181,184233,12282.2,2946,10304.5688301682
"182",182,240574,8295.65517241379,3159,10135.186056021
"183",183,131321,8754.73333333333,3753,9965.80328187376
"184",184,88811,4933.94444444444,1873.5,10014.4130984638
"185",185,110603,7900.21428571429,4068,10305.2369047619
"186",186,221094,12283,4246,11211.8163133435
"187",187,141436,12857.8181818182,12417,11582.8038785969
"188",188,345465,18182.3684210526,10549,11953.7914438503
"189",189,187846,11049.7647058824,3877,11049.7647058824
"190",190,35355,2946.25,1914.5,10072.7712418301
"191",191,163724,9095.77777777778,1101.5,9095.77777777778
"192",192,134957,5623.20833333333,1764.5,9568.42361111111
"193",193,205880,12867.5,3843.5,9334.46180555555
"194",194,91005,9100.5,4055,9100.5
"195",195,121125,5046.875,1932,8320.625
"196",196,150815,7540.75,1362,7540.75
"197",197,89982,6921.69230769231,673,7891.27457264957
"198",198,47166,3369,1619.5,8241.79914529915
"199",199,133846,14871.7777777778,425,9561.90598290598
"200",200,106952,8227.07692307692,3028,8227.07692307692
"201",201,82192,5137,2600,7782.19381009615
"202",202,35991,3599.1,668,7337.31069711538
"203",203,79192,6091.69230769231,4237,7559.88774038462
"204",204,136265,8516.5625,3127,8516.5625
"205",205,111738,11173.8,6427.5,8673.81019736842
"206",206,165167,12705.1538461538,3420,8831.05789473684
"207",207,123278,6488.31578947368,4074,8197.13421052632
"208",208,49108,4910.8,1039,7563.21052631579
"209",209,164124,8638.1052631579,1885,8638.1052631579
"210",210,110931,5546.55,2810,8236.61118421053
"211",211,69470,4631.33333333333,1869,7835.11710526316
"212",212,192350,10123.6842105263,1558,8151.78582535885
"213",213,93153,8468.45454545455,5989,7833.2758910292
"214",214,35501,3550.1,1551.5,7514.76595669955
"215",215,44955,4495.5,2026,6561.07736794456
"216",216,27992,2153.23076923077,960,6640.17746316184
"217",217,64432,4956.30769230769,678,6910.70492007992
"218",218,59789,8541.28571428571,3452,6774.85074619653
"219",219,33625,1977.94117647059,1023,6638.99657231314
"220",220,112110,14013.75,928,7067.23512826183
"221",221,142414,7495.47368421053,3793,6619.20847322182
"222",222,67883,6171.18181818182,1732,6171.18181818182
"223",223,25094,3136.75,2092,6963.72424242424
"224",224,116344,7756.26666666667,2810,6281.44545454545
"225",225,67190,5599.16666666667,1265.5,5973.30699182816
"226",226,65345,4084.0625,1588,5852.23869169161
"227",227,19937,2848.14285714286,1679,5731.17039155506
"228",228,35743,3574.3,1272,6040.31033916171
"229",229,60443,6715.88888888889,3478,6314.22354564923
"230",230,238611,18354.6923076923,4993,6588.13675213675
"231",231,83985,6460.38461538462,3360,6520.04553952991
"232",232,82293,8229.3,1808.5,6451.95432692308
"233",233,60936,7617,1896,6443.52403846154
"234",234,83293,6407.15384615385,1131,6407.15384615385
"235",235,37234,5319.14285714286,2862,6113.95192307692
"236",236,93132,5820.75,2896,5820.75
"237",237,36824,4603,2091.5,5309.68269230769
"238",238,155150,14104.5454545455,1414,5151.95673076923
